"version","doi_eng","doi_fra","rebased"
"1996-03","doi:10.5683/SP3/GL2UR7","doi:10.5683/SP3/6NFZQ4","2006"
"1996-04","doi:10.5683/SP3/YQFXC3","doi:10.5683/SP3/ID6QQF","2006"
"1996-05","doi:10.5683/SP3/H7FZL2","doi:10.5683/SP3/GLB7XW","2006"
"1996-06","doi:10.5683/SP3/JSLBAR","doi:10.5683/SP3/7URQFX","2006"
"1996-07","doi:10.5683/SP3/PIQNWO","doi:10.5683/SP3/E8ETFE","2006"
"1996-08","doi:10.5683/SP3/QED9LW","doi:10.5683/SP3/TJGZHB","2006"
"1996-09","doi:10.5683/SP3/NSKEAU","doi:10.5683/SP3/V7UAWL","2006"
"1996-10","doi:10.5683/SP3/YFEWVK","doi:10.5683/SP3/F5LEIH","2006"
"1996-11","doi:10.5683/SP3/UEPGOA","doi:10.5683/SP3/Q8VPR9","2006"
"1996-12","doi:10.5683/SP3/SFWYXS","doi:10.5683/SP3/UR7GSI","2006"
"1997-01","doi:10.5683/SP3/Q3XILX","doi:10.5683/SP3/EC7RSV","2006"
"1997-02","doi:10.5683/SP3/HNVL41","doi:10.5683/SP3/XQARYV","2006"
"1997-03","doi:10.5683/SP3/HVB23D","doi:10.5683/SP3/YMBOLI","2006"
"1997-04","doi:10.5683/SP3/I5WLW8","doi:10.5683/SP3/EUORQV","2006"
"1997-05","doi:10.5683/SP3/UCZI1W","doi:10.5683/SP3/JH5CSP","2006"
"1997-06","doi:10.5683/SP3/QLUV6R","doi:10.5683/SP3/KGBC8H","2006"
"1997-07","doi:10.5683/SP3/M5VIVL","doi:10.5683/SP3/ZCKWO6","2006"
"1997-08","doi:10.5683/SP3/FDFBA1","doi:10.5683/SP3/8L5ZO4","2006"
"1997-09","doi:10.5683/SP3/NSOHKF","doi:10.5683/SP3/TARTGZ","2006"
"1997-10","doi:10.5683/SP3/0ZXMFC","doi:10.5683/SP3/1HIIOV","2006"
"1997-11","doi:10.5683/SP3/ZH1PRM","doi:10.5683/SP3/GAWIIK","2006"
"1997-12","doi:10.5683/SP3/AZP4NI","doi:10.5683/SP3/MAHKKA","2006"
"1998-01","doi:10.5683/SP3/2WMXGK","doi:10.5683/SP3/QHBO7Y","2006"
"1998-02","doi:10.5683/SP3/WKJX9F","doi:10.5683/SP3/ECQXWT","2006"
"1998-03","doi:10.5683/SP3/3LC9GB","doi:10.5683/SP3/HLVRSL","2006"
"1998-04","doi:10.5683/SP3/IALRXI","doi:10.5683/SP3/SMHBUC","2006"
"1998-05","doi:10.5683/SP3/BK6ZHK","doi:10.5683/SP3/QYMZVS","2006"
"1998-06","doi:10.5683/SP3/BU7VVM","doi:10.5683/SP3/AR4BT3","2006"
"1998-07","doi:10.5683/SP3/BTLEMT","doi:10.5683/SP3/WX5KBG","2006"
"1998-08","doi:10.5683/SP3/T0H77M","doi:10.5683/SP3/5NTHJN","2006"
"1998-09","doi:10.5683/SP3/GNS41H","doi:10.5683/SP3/EOWH2T","2006"
"1998-10","doi:10.5683/SP3/QWD4G5","doi:10.5683/SP3/VZB7OM","2006"
"1998-11","doi:10.5683/SP3/VVJOEK","doi:10.5683/SP3/T2WAXH","2006"
"1998-12","doi:10.5683/SP3/MKHS7H","doi:10.5683/SP3/2YRP4B","2006"
"1999-01","doi:10.5683/SP3/AZMKHB","doi:10.5683/SP3/K7ZKCW","2006"
"1999-02","doi:10.5683/SP3/T3EFX5","doi:10.5683/SP3/VNYZFA","2006"
"1999-03","doi:10.5683/SP3/GSOPPO","doi:10.5683/SP3/PTBAZW","2006"
"1999-04","doi:10.5683/SP3/PYWCKH","doi:10.5683/SP3/H4VAGN","2006"
